cohort	label	config	runtime_family	scenario_set	scenario_count	trials	expected_trajectories	source	cell	description	tags
context_all31x3_full	AT_D_16K	configs/config_universe/generated/context_all31x3_full/at_d_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_model_optimized.env	AT_D_16K	AaT optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_D_32K	configs/config_universe/generated/context_all31x3_full/at_d_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_model_optimized.env	AT_D_32K	AaT optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_D_8K	configs/config_universe/generated/context_all31x3_full/at_d_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_model_optimized.env	AT_D_8K	AaT optimized MCP plus local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_I_16K	configs/config_universe/generated/context_all31x3_full/at_i_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_direct.env	AT_I_16K	AaT direct Python tools; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_I_32K	configs/config_universe/generated/context_all31x3_full/at_i_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_direct.env	AT_I_32K	AaT direct Python tools; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_I_8K	configs/config_universe/generated/context_all31x3_full/at_i_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_direct.env	AT_I_8K	AaT direct Python tools; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_M_16K	configs/config_universe/generated/context_all31x3_full/at_m_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_baseline.env	AT_M_16K	AaT MCP baseline transport; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_M_32K	configs/config_universe/generated/context_all31x3_full/at_m_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_baseline.env	AT_M_32K	AaT MCP baseline transport; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_M_8K	configs/config_universe/generated/context_all31x3_full/at_m_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_baseline.env	AT_M_8K	AaT MCP baseline transport; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_T_16K	configs/config_universe/generated/context_all31x3_full/at_t_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_optimized.env	AT_T_16K	AaT optimized MCP transport plus prefix caching; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_T_32K	configs/config_universe/generated/context_all31x3_full/at_t_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_optimized.env	AT_T_32K	AaT optimized MCP transport plus prefix caching; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	AT_T_8K	configs/config_universe/generated/context_all31x3_full/at_t_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/aat_mcp_optimized.env	AT_T_8K	AaT optimized MCP transport plus prefix caching; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_D_16K	configs/config_universe/generated/context_all31x3_full/pe_d_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_D_16K	Plan-Execute with local INT8/BF16/fp8KV serving; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_D_32K	configs/config_universe/generated/context_all31x3_full/pe_d_32k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_D_32K	Plan-Execute with local INT8/BF16/fp8KV serving; context-window ablation at 32768	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_D_8K	configs/config_universe/generated/context_all31x3_full/pe_d_8k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_D_8K	Plan-Execute with local INT8/BF16/fp8KV serving; context-window ablation at 8192	config_universe,context_ablation,full_cross_product
context_all31x3_full	PE_M_16K	configs/config_universe/generated/context_all31x3_full/pe_m_16k.env	config_universe_context_ablation	smartgrid_all31_v1	31	3	93	configs/experiment2/exp2_cell_Y_pe_mcp_baseline.env	PE_M_16K	Plan-Execute MCP baseline; context-window ablation at 16384	config_universe,context_ablation,full_cross_product
