transformer_id,name,manufacturer,location,voltage_class,rating_kva,install_date,age_years,health_status,fdd_category,rul_days,in_service
T-001,Power Transformer T-001,ABB,Substation Alpha,132kV/33kV,1500,2006-10-18,18,0,1,2526,True
T-002,Power Transformer T-002,Siemens,Substation Beta,11kV/0.4kV,5000,2011-02-19,13,0,1,3317,True
T-003,Power Transformer T-003,ABB,Industrial Park A,132kV/33kV,2500,2012-12-20,12,0,1,3783,True
T-004,Power Transformer T-004,ABB,Distribution Center 2,33kV/11kV,500,2016-07-04,8,0,1,4316,True
T-005,Power Transformer T-005,ABB,Substation Alpha,11kV/0.4kV,1000,2012-05-05,12,0,1,3364,True
T-006,Power Transformer T-006,Schneider Electric,Distribution Center 2,11kV/0.4kV,2500,2018-05-23,6,0,1,3608,True
T-007,Power Transformer T-007,Siemens,Industrial Park A,132kV/33kV,5000,2011-03-03,13,0,1,3860,True
T-008,Power Transformer T-008,Schneider Electric,Distribution Center 1,11kV/0.4kV,2000,2013-11-23,11,0,1,3210,True
T-009,Power Transformer T-009,Schneider Electric,Substation Gamma,11kV/0.4kV,1000,2007-10-19,17,0,1,3039,True
T-010,Power Transformer T-010,Eaton,Substation Gamma,33kV/11kV,1000,2010-06-25,14,0,1,3625,True
T-011,Power Transformer T-011,Siemens,Industrial Park B,33kV/11kV,500,2016-03-10,8,1,2,1100,True
T-012,Power Transformer T-012,ABB,Distribution Center 1,11kV/0.4kV,1500,2012-07-05,12,1,2,918,True
T-013,Power Transformer T-013,GE,Distribution Center 2,33kV/11kV,500,2018-09-10,6,1,2,922,True
T-014,Power Transformer T-014,Eaton,Distribution Center 2,11kV/0.4kV,2000,2019-11-11,5,1,2,767,True
T-015,Power Transformer T-015,ABB,Distribution Center 2,33kV/11kV,5000,2016-03-13,8,1,2,547,True
T-016,Power Transformer T-016,Schneider Electric,Industrial Park B,33kV/11kV,2500,2006-04-07,18,2,4,57,True
T-017,Power Transformer T-017,Siemens,Industrial Park A,11kV/0.4kV,500,2019-06-05,5,2,4,72,True
T-018,Power Transformer T-018,Siemens,Industrial Park B,33kV/11kV,500,2017-02-09,7,2,4,53,True
T-019,Power Transformer T-019,Siemens,Industrial Park B,11kV/0.4kV,2000,2011-10-23,13,2,4,8,True
T-020,Power Transformer T-020,GE,Distribution Center 1,132kV/33kV,1500,2010-03-19,14,2,4,26,True
