transformer_id,sample_date,dissolved_h2_ppm,dissolved_ch4_ppm,dissolved_c2h2_ppm,dissolved_c2h4_ppm,dissolved_c2h6_ppm,dissolved_co_ppm,dissolved_co2_ppm,fault_label,source_dataset
T-001,2024-01-15,2845.0,7406.0,7.0,16684.0,5467.0,32.0,1344.0,Normal,health_index
T-002,2024-01-15,12886.0,877.0,0.0,4.0,305.0,83.0,864.0,Normal,health_index
T-003,2024-01-15,2820.0,144.0,2190.0,206.0,11.0,257.0,1080.0,Normal,health_index
T-004,2024-01-15,1099.0,545.0,0.0,6.0,230.0,184.0,1402.0,Normal,health_index
T-005,2024-01-15,3210.0,160.0,4.0,4.0,43.0,360.0,2130.0,Normal,health_index
T-006,2024-01-15,13500.0,3150.0,1.0,5.0,1230.0,113.0,984.0,Normal,health_index
T-007,2024-01-15,10200.0,573.0,0.0,0.0,162.0,87.0,611.0,Normal,health_index
T-008,2024-01-15,3.0,5.0,13.0,12.0,2.0,68.0,902.0,Normal,health_index
T-009,2024-01-15,16.0,8.0,2.0,5.0,8.0,520.0,2660.0,Normal,health_index
T-010,2024-01-15,488.0,13.0,0.0,29.0,23.0,85.0,1957.0,Normal,health_index
T-011,2024-01-15,3930.0,2397.0,0.0,0.0,157.0,0.0,0.0,Partial discharge,dga_fault_classification
T-012,2024-01-15,37800.0,1740.0,8.0,8.0,249.0,0.0,0.0,Partial discharge,dga_fault_classification
T-013,2024-01-15,92600.0,10200.0,0.0,0.0,0.0,0.0,0.0,Partial discharge,dga_fault_classification
T-014,2024-01-15,8266.0,1061.0,0.0,0.0,22.0,0.0,0.0,Partial discharge,dga_fault_classification
T-015,2024-01-15,9340.0,995.0,7.0,6.0,60.0,0.0,0.0,Partial discharge,dga_fault_classification
T-016,2024-01-15,78.0,20.0,28.0,13.0,11.0,0.0,0.0,Spark discharge,dga_fault_classification
T-017,2024-01-15,305.0,100.0,541.0,161.0,33.0,0.0,0.0,Spark discharge,dga_fault_classification
T-018,2024-01-15,35.0,6.0,482.0,26.0,3.0,0.0,0.0,Spark discharge,dga_fault_classification
T-019,2024-01-15,543.0,120.0,1880.0,411.0,41.0,0.0,0.0,Spark discharge,dga_fault_classification
T-020,2024-01-15,1230.0,163.0,692.0,233.0,27.0,0.0,0.0,Spark discharge,dga_fault_classification
