transformer_id,fault_id,fault_type,location,voltage_v,current_a,power_load_mw,temperature_c,wind_speed_kmh,weather_condition,maintenance_status,component_health,duration_hrs,downtime_hrs
T-001,F001,Line Breakage,Substation Gamma,33000,235,32.97,25.7,7.1,Windy,Scheduled,Normal,3.1,7
T-002,F002,Insulation Degradation,Substation Gamma,11000,210,59.58,30.2,17.8,Clear,Completed,Normal,2.6,4
T-003,F003,Insulation Degradation,Substation Beta,11000,187,35.54,27.4,14.5,Rainy,Scheduled,Normal,0.5,4
T-005,F004,Cooling System Failure,Substation Delta,132000,204,47.3,24.8,23.2,Windy,Completed,Normal,1.5,4
T-006,F005,Insulation Degradation,Substation Beta,11000,306,54.89,27.1,20.5,Windy,Scheduled,Normal,2.0,4
T-008,F006,Line Breakage,Substation Alpha,11000,243,44.81,22.8,17.4,Windy,Pending,Normal,1.1,1
T-009,F007,Overload Trip,Substation Alpha,11000,184,34.24,29.0,10.8,Rainy,Completed,Normal,0.8,5
T-010,F008,Insulation Degradation,Substation Gamma,33000,211,47.4,21.9,23.4,Rainy,Completed,Normal,0.5,4
T-011,F009,Cooling System Failure,Substation Delta,33000,219,50.01,27.5,22.2,Stormy,Scheduled,Warning,5.5,14
T-011,F010,Overload Trip,Substation Beta,33000,191,42.18,40.2,13.1,Rainy,Completed,Warning,3.4,11
T-011,F011,Tap Changer Malfunction,Substation Gamma,132000,214,49.97,26.1,25.7,Stormy,Completed,Warning,4.9,23
T-012,F012,Cooling System Failure,Substation Gamma,33000,264,38.42,29.2,17.8,Rainy,Scheduled,Warning,6.4,17
T-012,F013,Tap Changer Malfunction,Substation Delta,33000,135,61.27,33.8,20.1,Clear,Scheduled,Warning,2.7,23
T-012,F014,Transformer Failure,Substation Beta,33000,202,55.22,36.7,20.0,Rainy,Completed,Warning,4.9,11
T-013,F015,Cooling System Failure,Substation Alpha,33000,164,46.16,38.8,21.7,Stormy,Pending,Warning,7.6,23
T-013,F016,Tap Changer Malfunction,Substation Delta,132000,190,43.25,41.2,10.8,Windy,Completed,Warning,5.2,10
T-014,F017,Transformer Failure,Substation Alpha,132000,229,43.89,29.5,22.4,Windy,Completed,Warning,6.3,12
T-014,F018,Overload Trip,Substation Alpha,33000,249,51.38,37.3,19.6,Windy,Pending,Warning,3.8,13
T-015,F019,Line Breakage,Substation Delta,132000,270,48.38,34.0,9.2,Clear,Completed,Warning,3.3,16
T-015,F020,Insulation Degradation,Substation Gamma,33000,195,22.28,39.6,16.9,Rainy,Completed,Warning,5.5,24
T-015,F021,Transformer Failure,Substation Gamma,132000,228,44.65,41.8,9.6,Rainy,Scheduled,Warning,6.0,14
T-016,F022,Overload Trip,Substation Beta,11000,142,47.01,39.9,16.9,Clear,Completed,Faulty,10.0,56
T-016,F023,Overload Trip,Substation Delta,11000,234,53.24,45.2,15.7,Clear,Scheduled,Faulty,6.0,55
T-016,F024,Overload Trip,Substation Gamma,11000,292,42.07,48.9,11.3,Rainy,Scheduled,Faulty,9.1,70
T-016,F025,Line Breakage,Substation Alpha,132000,224,39.77,44.0,15.0,Clear,Completed,Faulty,8.1,62
T-017,F026,Cooling System Failure,Substation Alpha,11000,206,38.05,41.0,20.9,Rainy,Scheduled,Faulty,8.0,63
T-017,F027,Insulation Degradation,Substation Delta,11000,214,49.29,46.2,23.0,Rainy,Pending,Faulty,5.4,33
T-017,F028,Tap Changer Malfunction,Substation Delta,11000,177,44.0,39.6,16.3,Rainy,Completed,Faulty,6.7,53
T-017,F029,Insulation Degradation,Substation Beta,33000,265,50.33,49.1,3.2,Windy,Pending,Faulty,10.1,72
T-017,F030,Insulation Degradation,Substation Gamma,132000,178,47.98,41.5,19.6,Stormy,Completed,Faulty,10.0,24
T-018,F031,Cooling System Failure,Substation Alpha,11000,365,51.72,46.0,21.2,Rainy,Scheduled,Faulty,9.4,38
T-018,F032,Transformer Failure,Substation Gamma,11000,196,46.75,48.6,21.5,Clear,Completed,Faulty,7.3,26
T-018,F033,Tap Changer Malfunction,Substation Beta,33000,172,53.6,46.1,13.4,Rainy,Scheduled,Faulty,7.5,27
T-018,F034,Transformer Failure,Substation Alpha,11000,279,38.74,38.5,15.7,Rainy,Scheduled,Faulty,9.4,68
T-019,F035,Transformer Failure,Substation Gamma,132000,255,47.98,42.9,15.2,Clear,Completed,Faulty,9.0,41
T-019,F036,Line Breakage,Substation Gamma,33000,241,50.38,42.4,7.1,Stormy,Scheduled,Faulty,7.2,45
T-019,F037,Tap Changer Malfunction,Substation Beta,11000,220,46.2,46.9,7.4,Stormy,Scheduled,Faulty,5.3,60
T-020,F038,Cooling System Failure,Substation Delta,33000,193,38.29,45.0,27.5,Rainy,Scheduled,Faulty,8.6,34
T-020,F039,Transformer Failure,Substation Delta,33000,298,52.46,44.7,8.3,Windy,Pending,Faulty,8.1,34
T-020,F040,Cooling System Failure,Substation Delta,132000,257,44.11,43.2,9.4,Clear,Completed,Faulty,8.4,66
T-020,F041,Insulation Degradation,Substation Alpha,11000,240,36.43,46.1,20.4,Clear,Pending,Faulty,9.0,61
