transformer_id,timestamp,rul_days,health_index,fdd_category
T-001,2024-01-01,1123,1.0,1
T-001,2024-01-02,1122,1.0,1
T-001,2024-01-03,1121,1.0,1
T-001,2024-01-04,1120,1.0,1
T-001,2024-01-05,1119,1.0,1
T-001,2024-01-06,1118,1.0,1
T-001,2024-01-07,1117,1.0,1
T-001,2024-01-08,1116,1.0,1
T-001,2024-01-09,1115,1.0,1
T-001,2024-01-10,1114,1.0,1
T-001,2024-01-11,1113,1.0,1
T-001,2024-01-12,1112,1.0,1
T-001,2024-01-13,1111,1.0,1
T-001,2024-01-14,1110,1.0,1
T-001,2024-01-15,1109,1.0,1
T-001,2024-01-16,1108,1.0,1
T-001,2024-01-17,1107,1.0,1
T-001,2024-01-18,1106,1.0,1
T-001,2024-01-19,1105,1.0,1
T-001,2024-01-20,1104,1.0,1
T-001,2024-01-21,1103,1.0,1
T-001,2024-01-22,1102,1.0,1
T-001,2024-01-23,1101,1.0,1
T-001,2024-01-24,1100,1.0,1
T-001,2024-01-25,1099,1.0,1
T-001,2024-01-26,1098,1.0,1
T-001,2024-01-27,1097,1.0,1
T-001,2024-01-28,1096,1.0,1
T-001,2024-01-29,1095,1.0,1
T-001,2024-01-30,1094,1.0,1
T-001,2024-01-31,1093,1.0,1
T-002,2024-01-01,1123,1.0,1
T-002,2024-01-02,1122,1.0,1
T-002,2024-01-03,1121,1.0,1
T-002,2024-01-04,1120,1.0,1
T-002,2024-01-05,1119,1.0,1
T-002,2024-01-06,1118,1.0,1
T-002,2024-01-07,1117,1.0,1
T-002,2024-01-08,1116,1.0,1
T-002,2024-01-09,1115,1.0,1
T-002,2024-01-10,1114,1.0,1
T-002,2024-01-11,1113,1.0,1
T-002,2024-01-12,1112,1.0,1
T-002,2024-01-13,1111,1.0,1
T-002,2024-01-14,1110,1.0,1
T-002,2024-01-15,1109,1.0,1
T-002,2024-01-16,1108,1.0,1
T-002,2024-01-17,1107,1.0,1
T-002,2024-01-18,1106,1.0,1
T-002,2024-01-19,1105,1.0,1
T-002,2024-01-20,1104,1.0,1
T-002,2024-01-21,1103,1.0,1
T-002,2024-01-22,1102,1.0,1
T-002,2024-01-23,1101,1.0,1
T-002,2024-01-24,1100,1.0,1
T-002,2024-01-25,1099,1.0,1
T-002,2024-01-26,1098,1.0,1
T-002,2024-01-27,1097,1.0,1
T-002,2024-01-28,1096,1.0,1
T-002,2024-01-29,1095,1.0,1
T-002,2024-01-30,1094,1.0,1
T-002,2024-01-31,1093,1.0,1
T-003,2024-01-01,1123,1.0,1
T-003,2024-01-02,1122,1.0,1
T-003,2024-01-03,1121,1.0,1
T-003,2024-01-04,1120,1.0,1
T-003,2024-01-05,1119,1.0,1
T-003,2024-01-06,1118,1.0,1
T-003,2024-01-07,1117,1.0,1
T-003,2024-01-08,1116,1.0,1
T-003,2024-01-09,1115,1.0,1
T-003,2024-01-10,1114,1.0,1
T-003,2024-01-11,1113,1.0,1
T-003,2024-01-12,1112,1.0,1
T-003,2024-01-13,1111,1.0,1
T-003,2024-01-14,1110,1.0,1
T-003,2024-01-15,1109,1.0,1
T-003,2024-01-16,1108,1.0,1
T-003,2024-01-17,1107,1.0,1
T-003,2024-01-18,1106,1.0,1
T-003,2024-01-19,1105,1.0,1
T-003,2024-01-20,1104,1.0,1
T-003,2024-01-21,1103,1.0,1
T-003,2024-01-22,1102,1.0,1
T-003,2024-01-23,1101,1.0,1
T-003,2024-01-24,1100,1.0,1
T-003,2024-01-25,1099,1.0,1
T-003,2024-01-26,1098,1.0,1
T-003,2024-01-27,1097,1.0,1
T-003,2024-01-28,1096,1.0,1
T-003,2024-01-29,1095,1.0,1
T-003,2024-01-30,1094,1.0,1
T-003,2024-01-31,1093,1.0,1
T-004,2024-01-01,1123,1.0,1
T-004,2024-01-02,1122,1.0,1
T-004,2024-01-03,1121,1.0,1
T-004,2024-01-04,1120,1.0,1
T-004,2024-01-05,1119,1.0,1
T-004,2024-01-06,1118,1.0,1
T-004,2024-01-07,1117,1.0,1
T-004,2024-01-08,1116,1.0,1
T-004,2024-01-09,1115,1.0,1
T-004,2024-01-10,1114,1.0,1
T-004,2024-01-11,1113,1.0,1
T-004,2024-01-12,1112,1.0,1
T-004,2024-01-13,1111,1.0,1
T-004,2024-01-14,1110,1.0,1
T-004,2024-01-15,1109,1.0,1
T-004,2024-01-16,1108,1.0,1
T-004,2024-01-17,1107,1.0,1
T-004,2024-01-18,1106,1.0,1
T-004,2024-01-19,1105,1.0,1
T-004,2024-01-20,1104,1.0,1
T-004,2024-01-21,1103,1.0,1
T-004,2024-01-22,1102,1.0,1
T-004,2024-01-23,1101,1.0,1
T-004,2024-01-24,1100,1.0,1
T-004,2024-01-25,1099,1.0,1
T-004,2024-01-26,1098,1.0,1
T-004,2024-01-27,1097,1.0,1
T-004,2024-01-28,1096,1.0,1
T-004,2024-01-29,1095,1.0,1
T-004,2024-01-30,1094,1.0,1
T-004,2024-01-31,1093,1.0,1
T-005,2024-01-01,1123,1.0,1
T-005,2024-01-02,1122,1.0,1
T-005,2024-01-03,1121,1.0,1
T-005,2024-01-04,1120,1.0,1
T-005,2024-01-05,1119,1.0,1
T-005,2024-01-06,1118,1.0,1
T-005,2024-01-07,1117,1.0,1
T-005,2024-01-08,1116,1.0,1
T-005,2024-01-09,1115,1.0,1
T-005,2024-01-10,1114,1.0,1
T-005,2024-01-11,1113,1.0,1
T-005,2024-01-12,1112,1.0,1
T-005,2024-01-13,1111,1.0,1
T-005,2024-01-14,1110,1.0,1
T-005,2024-01-15,1109,1.0,1
T-005,2024-01-16,1108,1.0,1
T-005,2024-01-17,1107,1.0,1
T-005,2024-01-18,1106,1.0,1
T-005,2024-01-19,1105,1.0,1
T-005,2024-01-20,1104,1.0,1
T-005,2024-01-21,1103,1.0,1
T-005,2024-01-22,1102,1.0,1
T-005,2024-01-23,1101,1.0,1
T-005,2024-01-24,1100,1.0,1
T-005,2024-01-25,1099,1.0,1
T-005,2024-01-26,1098,1.0,1
T-005,2024-01-27,1097,1.0,1
T-005,2024-01-28,1096,1.0,1
T-005,2024-01-29,1095,1.0,1
T-005,2024-01-30,1094,1.0,1
T-005,2024-01-31,1093,1.0,1
T-006,2024-01-01,545,0.4986,1
T-006,2024-01-02,544,0.4977,1
T-006,2024-01-03,543,0.4968,1
T-006,2024-01-04,542,0.4959,1
T-006,2024-01-05,541,0.495,1
T-006,2024-01-06,540,0.4941,1
T-006,2024-01-07,539,0.4931,1
T-006,2024-01-08,538,0.4922,1
T-006,2024-01-09,537,0.4913,1
T-006,2024-01-10,536,0.4904,1
T-006,2024-01-11,535,0.4895,1
T-006,2024-01-12,534,0.4886,1
T-006,2024-01-13,533,0.4876,1
T-006,2024-01-14,532,0.4867,1
T-006,2024-01-15,531,0.4858,1
T-006,2024-01-16,530,0.4849,1
T-006,2024-01-17,529,0.484,1
T-006,2024-01-18,528,0.4831,1
T-006,2024-01-19,527,0.4822,1
T-006,2024-01-20,526,0.4812,1
