group,phase,label,display_code,run_name,run_dir,json_count,latency_count,judge_count,judge_pass_count,judge_pass_rate,judge_score_mean,judge_score_p50,latency_p50_seconds,latency_p95_seconds,scenario_ids
matrix,,A,AT-I,final5x6_a100_20260503T090200Z_A_final5x6_aat_direct,benchmarks/cell_A_direct/raw/final5x6_a100_20260503T090200Z_A_final5x6_aat_direct,30,30,30,6,0.2,0.306,0.167,8.51,20.73,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,B,AT-M,final5x6_a100_20260503T090200Z_B_final5x6_aat_mcp_baseline,benchmarks/cell_B_mcp_baseline/raw/final5x6_a100_20260503T090200Z_B_final5x6_aat_mcp_baseline,30,30,30,3,0.1,0.361,0.333,12.22,13.99,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,C,AT-TP,final5x6_a100_20260503T090200Z_C_final5x6_aat_mcp_optimized,benchmarks/cell_C_mcp_optimized/raw/final5x6_a100_20260503T090200Z_C_final5x6_aat_mcp_optimized,30,30,30,6,0.2,0.339,0.333,12.01,14.58,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,D,AT-TPQ,final5x6_extra_a100_20260503T115304Z_D_final5x6_aat_mcp_model_optimized,benchmarks/cell_D/raw/final5x6_extra_a100_20260503T115304Z_D_final5x6_aat_mcp_model_optimized,30,30,30,3,0.1,0.328,0.333,11.38,12.87,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,Y,PE-M,final5x6_a100_20260503T090200Z_Y_final5x6_exp2_cell_Y_pe_mcp_baseline,benchmarks/cell_Y_plan_execute/raw/final5x6_a100_20260503T090200Z_Y_final5x6_exp2_cell_Y_pe_mcp_baseline,30,30,30,17,0.567,0.644,0.667,29.62,60.74,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,YS,PE-S-M,final5x6_a100_20260503T090200Z_YS_final5x6_exp2_cell_Y_pe_self_ask_mcp_baseline,benchmarks/cell_Y_plan_execute/raw/final5x6_a100_20260503T090200Z_YS_final5x6_exp2_cell_Y_pe_self_ask_mcp_baseline,30,30,30,17,0.567,0.611,0.667,30.32,61.58,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,Z,V-M,final5x6_a100_20260503T090200Z_Z_final5x6_exp2_cell_Z_verified_pe_mcp_baseline,benchmarks/cell_Z_hybrid/raw/final5x6_a100_20260503T090200Z_Z_final5x6_exp2_cell_Z_verified_pe_mcp_baseline,30,30,30,22,0.733,0.744,0.833,37.92,94.93,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,ZS,V-S-M,final5x6_a100_20260503T090200Z_ZS_final5x6_exp2_cell_Z_verified_pe_self_ask_mcp_baseline,benchmarks/cell_Z_hybrid/raw/final5x6_a100_20260503T090200Z_ZS_final5x6_exp2_cell_Z_verified_pe_self_ask_mcp_baseline,30,30,30,15,0.5,0.611,0.583,38.38,95.18,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
matrix,,ZSD,V-S-TPQ,final5x6_extra_a100_20260503T115304Z_ZSD_final5x6_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized,benchmarks/cell_ZSD/raw/final5x6_extra_a100_20260503T115304Z_ZSD_final5x6_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized,30,30,30,13,0.433,0.583,0.5,26.76,44.64,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
followon,,YS_TP,PE-S-TP,final5x6_followon_transport_a100_20260503T142516Z_YS_TP_final5x6_exp2_cell_YS_pe_self_ask_mcp_optimized,benchmarks/cell_Y_plan_execute/raw/final5x6_followon_transport_a100_20260503T142516Z_YS_TP_final5x6_exp2_cell_YS_pe_self_ask_mcp_optimized,30,30,30,17,0.567,0.611,0.667,20.26,41.7,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
followon,,ZS_TP,V-S-TP,final5x6_followon_transport_a100_20260503T142516Z_ZS_TP_final5x6_exp2_cell_ZS_verified_pe_self_ask_mcp_optimized,benchmarks/cell_Z_hybrid/raw/final5x6_followon_transport_a100_20260503T142516Z_ZS_TP_final5x6_exp2_cell_ZS_verified_pe_self_ask_mcp_optimized,30,30,30,16,0.533,0.628,0.75,27.3,75.22,SGT-006 SGT-009 SGT-010 SGT-012 SGT-014 SGT-018
