cohort,batch_prefix,row_group,run_name,run_dir,raw_json_count,latency_count,judge_count,judge_pass_count,judge_pass_rate,judge_score_mean,judge_score_p50,scenario_count,git_sha,git_dirty,model_id
core15_broad,core15x5_post175_a100_cu_20260505T0724Z,A,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,75,75,75,26,0.346667,0.417777,0.3333,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core15_broad,core15x5_post175_a100_cu_20260505T0724Z,B,core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline,benchmarks/cell_B_mcp_baseline/raw/core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline,75,75,75,28,0.373333,0.433329,0.3333,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core15_broad,core15x5_post175_a100_cu_20260505T0724Z,C,core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized,benchmarks/cell_C_mcp_optimized/raw/core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized,75,75,75,29,0.386667,0.484441,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core15_broad,core15x5_post175_a100_ixqt_east_20260505T0724Z,YS,core15x5_post175_a100_ixqt_east_20260505T0724Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,benchmarks/cell_Y_plan_execute/raw/core15x5_post175_a100_ixqt_east_20260505T0724Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,75,75,75,37,0.493333,0.602223,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core15_broad,core15x5_post175_a100_ixqt_east_20260505T0724Z,Y,core15x5_post175_a100_ixqt_east_20260505T0724Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,benchmarks/cell_Y_plan_execute/raw/core15x5_post175_a100_ixqt_east_20260505T0724Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,75,75,75,35,0.466667,0.606664,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core15_broad,core15x5_post175_a100_ixqt_west3_20260505T0724Z,Z,core15x5_post175_a100_ixqt_west3_20260505T0724Z_Z_post175_15x5_exp2_cell_Z_verified_pe_mcp_baseline,benchmarks/cell_Z_hybrid/raw/core15x5_post175_a100_ixqt_west3_20260505T0724Z_Z_post175_15x5_exp2_cell_Z_verified_pe_mcp_baseline,75,75,75,40,0.533333,0.608885,0.8333,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core15_broad,core15x5_post175_a100_ixqt_west4_20260505T0724Z,ZS,core15x5_post175_a100_ixqt_west4_20260505T0724Z_ZS_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline,benchmarks/cell_Z_hybrid/raw/core15x5_post175_a100_ixqt_west4_20260505T0724Z_ZS_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline,75,75,75,36,0.48,0.582223,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core16_extension,core_rem16x5_post175_a100_cu_20260505T0940Z,A,core_rem16x5_post175_a100_cu_20260505T0940Z_A_post175_15x5_aat_direct,benchmarks/cell_A_direct/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_A_post175_15x5_aat_direct,80,80,80,41,0.5125,0.52708,0.6667,16,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core16_extension,core_rem16x5_post175_a100_cu_20260505T0940Z,B,core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline,benchmarks/cell_B_mcp_baseline/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline,80,80,80,29,0.3625,0.45,0.41665,16,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core16_extension,core_rem16x5_post175_a100_cu_20260505T0940Z,C,core_rem16x5_post175_a100_cu_20260505T0940Z_C_post175_15x5_aat_mcp_optimized,benchmarks/cell_C_mcp_optimized/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_C_post175_15x5_aat_mcp_optimized,80,80,80,32,0.4,0.462495,0.41665,16,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core16_extension,core_rem16x5_post175_a100_ixqt_east_20260505T0918Z,YS,core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,benchmarks/cell_Y_plan_execute/raw/core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,80,80,80,41,0.5125,0.610417,0.6667,16,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core16_extension,core_rem16x5_post175_a100_ixqt_east_20260505T0918Z,Y,core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,benchmarks/cell_Y_plan_execute/raw/core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,80,80,80,41,0.5125,0.558334,0.6667,16,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core16_extension,core_rem16x5_post175_a100_ixqt_west4_20260505T0918Z,ZS,core_rem16x5_post175_a100_ixqt_west4_20260505T0918Z_ZS_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline,benchmarks/cell_Z_hybrid/raw/core_rem16x5_post175_a100_ixqt_west4_20260505T0918Z_ZS_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline,80,80,80,44,0.55,0.656256,0.6667,16,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
core16_extension,core_rem16x5_post175_a100_ixqt_west4_20260505T0918Z,Z,core_rem16x5_post175_a100_ixqt_west4_20260505T0918Z_Z_post175_15x5_exp2_cell_Z_verified_pe_mcp_baseline,benchmarks/cell_Z_hybrid/raw/core_rem16x5_post175_a100_ixqt_west4_20260505T0918Z_Z_post175_15x5_exp2_cell_Z_verified_pe_mcp_baseline,80,80,80,46,0.575,0.589591,0.6667,16,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
followon_extra15,extra15x5_post175_a100_ixqt_west3_20260505T0815Z,D,extra15x5_post175_a100_ixqt_west3_20260505T0815Z_D_post175_15x5_aat_mcp_model_optimized,benchmarks/cell_D/raw/extra15x5_post175_a100_ixqt_west3_20260505T0815Z_D_post175_15x5_aat_mcp_model_optimized,75,75,75,22,0.293333,0.411103,0.3333,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct-int8
followon_extra15,extra15x5_post175_a100_ixqt_west4_20260505T0815Z,ZSD,extra15x5_post175_a100_ixqt_west4_20260505T0815Z_ZSD_post175_15x5_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized,benchmarks/cell_ZSD/raw/extra15x5_post175_a100_ixqt_west4_20260505T0815Z_ZSD_post175_15x5_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized,75,75,75,37,0.493333,0.560001,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct-int8
followon_extra15,followon15x5_post175_a100_cu_20260505T0810Z,YS_TP,followon15x5_post175_a100_cu_20260505T0810Z_YS_TP_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_optimized,benchmarks/cell_Y_plan_execute/raw/followon15x5_post175_a100_cu_20260505T0810Z_YS_TP_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_optimized,75,75,75,40,0.533333,0.62,0.6667,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
followon_extra15,followon15x5_post175_a100_cu_20260505T0810Z,ZS_TP,followon15x5_post175_a100_cu_20260505T0810Z_ZS_TP_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_optimized,benchmarks/cell_Z_hybrid/raw/followon15x5_post175_a100_cu_20260505T0810Z_ZS_TP_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_optimized,75,75,75,40,0.533333,0.586671,0.6667,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
mitigation15_4tier,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z,YS_ADJ,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_ADJ_post175_15x5_mitigation_adjudication_pe_self_ask,benchmarks/cell_Y_plan_execute/raw/mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_ADJ_post175_15x5_mitigation_adjudication_pe_self_ask,75,75,75,31,0.413333,0.524439,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
mitigation15_4tier,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z,YS_BASELINE,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_BASELINE_post175_15x5_mitigation_baseline_pe_self_ask,benchmarks/cell_Y_plan_execute/raw/mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_BASELINE_post175_15x5_mitigation_baseline_pe_self_ask,75,75,75,40,0.533333,0.611111,0.6667,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
mitigation15_4tier,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z,YS_GUARD,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_GUARD_post175_15x5_mitigation_guard_pe_self_ask,benchmarks/cell_Y_plan_execute/raw/mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_GUARD_post175_15x5_mitigation_guard_pe_self_ask,75,75,75,36,0.48,0.475556,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
mitigation15_4tier,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z,YS_REPAIR,mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_REPAIR_post175_15x5_mitigation_repair_pe_self_ask,benchmarks/cell_Y_plan_execute/raw/mitigation15x5_4tier_post175_a100_ixqt_west3_20260505T0845Z_YS_REPAIR_post175_15x5_mitigation_repair_pe_self_ask,75,75,75,36,0.48,0.579999,0.5,15,1913c6e4703425f735d8cb8297cb890ba66bbeff,False,openai/Llama-3.1-8B-Instruct
